Country,Code,Year,Population
Afghanistan,AFG,2000,23898198
Albania,ALB,2000,3473835
Algeria,DZA,2000,30429000
Andorra,AND,2000,66824
Angola,AGO,2000,10377000
Antigua and Barbuda,ATG,2000,75000
Argentina,ARG,2000,37336000
Armenia,ARM,2000,3042556
Australia,AUS,2000,19053000
Austria,AUT,2000,8113413
Azerbaijan,AZE,2000,7809000
Bahamas,BHS,2000,290075
Bahrain,BHR,2000,634137
Bangladesh,BGD,2000,136681000
Barbados,BRB,2000,274000
Belarus,BLR,2000,10366719
Belgium,BEL,2000,10263618
Belize,BLZ,2000,247887
Benin,BEN,2000,6619000
Bhutan,BTN,2000,606000
Bolivia,BOL,2000,8195000
Bosnia and Herzegovina,BIH,2000,4035457
Botswana,BWA,2000,1680000
Brazil,BRA,2000,176320000
Brunei,BRN,2000,325000
Bulgaria,BGR,2000,7818495
Burkina Faso,BFA,2000,11588000
Burundi,BDI,2000,6621126
Cambodia,KHM,2000,12396000
Cameroon,CMR,2000,15343000
Canada,CAN,2000,31100000
Cape Verde,CPV,2000,402000
Central African Republic,CAF,2000,3940000
Chad,TCD,2000,7943000
Chile,CHL,2000,15156000
China,CHN,2000,1262645000
Colombia,COL,2000,39817000
Comoros,COM,2000,579000
Congo,COG,2000,3104000
Costa Rica,CRI,2000,3710558
Cote d'Ivoire,CIV,2000,16885000
Croatia,HRV,2000,4410830
Cuba,CUB,2000,11106000
Cyprus,CYP,2000,758363
Czechia,CZE,2000,10270128
Democratic Republic of Congo,COD,2000,51849000
Denmark,DNK,2000,5337416
Djibouti,DJI,2000,430822
Dominica,DMA,2000,71000
Dominican Republic,DOM,2000,8410000
Ecuador,ECU,2000,12446000
Egypt,EGY,2000,70512000
El Salvador,SLV,2000,6126000
Equatorial Guinea,GNQ,2000,491000
Eritrea,ERI,2000,4197000
Estonia,EST,2000,1379835
Eswatini,SWZ,2000,1109750
Ethiopia,ETH,2000,64165000
Fiji,FJI,2000,833000
Finland,FIN,2000,5168595
France,FRA,2000,61137000
Gabon,GAB,2000,1236000
Gambia,GMB,2000,1367884
Georgia,GEO,2000,4777209
Germany,DEU,2000,82187909
Ghana,GHA,2000,19736000
Greece,GRC,2000,10559110
Grenada,GRD,2000,89312
Guatemala,GTM,2000,11085000
Guinea,GIN,2000,8350000
Guinea-Bissau,GNB,2000,1279000
Guyana,GUY,2000,755171
Haiti,HTI,2000,7639000
Honduras,HND,2000,6347658
Hungary,HUN,2000,10137449
Iceland,ISL,2000,281043
India,IND,2000,1004124000
Iran,IRN,2000,63273000
Iraq,IRQ,2000,22675617
Ireland,IRL,2000,3791690
Israel,ISR,2000,6115000
Italy,ITA,2000,57719337
Jamaica,JAM,2000,2615467
Japan,JPN,2000,126179000
Jordan,JOR,2000,4998564
Kazakhstan,KAZ,2000,15032140
