Country,Code,Year,Population
Afghanistan,AFG,1500,2000000
Afghanistan,AFG,1600,2500000
Afghanistan,AFG,1700,2500000
Afghanistan,AFG,1800,3280000
Afghanistan,AFG,1900,5000000
Afghanistan,AFG,2000,23898198
Albania,ALB,1500,200000
Albania,ALB,1600,200000
Albania,ALB,1700,300000
Albania,ALB,1800,400000
Albania,ALB,1900,800000
Albania,ALB,2000,3473835
Algeria,DZA,1500,1500000
Algeria,DZA,1600,2250000
Algeria,DZA,1700,1750000
Algeria,DZA,1800,2500000
Algeria,DZA,1900,4675310.976
Algeria,DZA,2000,30429000
Andorra,AND,1800,2654
Andorra,AND,2000,66824
Angola,AGO,1800,1567028
Angola,AGO,1900,2935018.814
Angola,AGO,2000,10377000
Antigua and Barbuda,ATG,1800,37000
Antigua and Barbuda,ATG,1900,35000
Antigua and Barbuda,ATG,2000,75000
Argentina,ARG,1500,300000
Argentina,ARG,1600,300000
Argentina,ARG,1700,300000
Argentina,ARG,1800,534000
Argentina,ARG,1900,4693000
Argentina,ARG,2000,37336000
Armenia,ARM,1800,413326
Armenia,ARM,2000,3042556
Australia,AUS,1500,450000
Australia,AUS,1600,450000
Australia,AUS,1700,450000
Australia,AUS,1800,200000
Australia,AUS,1900,3741000
Australia,AUS,2000,19053000
Austria,AUT,1500,2000000
Austria,AUT,1600,2500000
Austria,AUT,1700,2500000
Austria,AUT,1800,3000000
Austria,AUT,1900,5973000
Austria,AUT,2000,8113413
Azerbaijan,AZE,1800,879960
Azerbaijan,AZE,2000,7809000
Bahamas,BHS,1800,27350
Bahamas,BHS,1900,54000
Bahamas,BHS,2000,290075
Bahrain,BHR,1800,64474
Bahrain,BHR,2000,634137
Bangladesh,BGD,1600,12918659
Bangladesh,BGD,1700,15789473
Bangladesh,BGD,2000,136681000
Barbados,BRB,1800,81729
Barbados,BRB,1900,196000
Barbados,BRB,2000,274000
Belarus,BLR,1800,2355081
Belarus,BLR,2000,10366719
Belgium,BEL,1500,1400000
Belgium,BEL,1600,1600000
Belgium,BEL,1700,2000000
Belgium,BEL,1800,3250000
Belgium,BEL,1900,6719000
Belgium,BEL,2000,10263618
Belize,BLZ,1800,25526
Belize,BLZ,1900,37000
Belize,BLZ,2000,247887
Benin,BEN,1800,636559
Benin,BEN,1900,1079440.454
Benin,BEN,2000,6619000
Bhutan,BTN,1800,392287
Bhutan,BTN,2000,606000
Bolivia,BOL,1500,900000
Bolivia,BOL,1600,670000
Bolivia,BOL,1700,534000
Bolivia,BOL,1800,887000
Bolivia,BOL,1900,1696000
Bolivia,BOL,2000,8195000
Bosnia and Herzegovina,BIH,1800,851806
Bosnia and Herzegovina,BIH,2000,4035457
Botswana,BWA,1800,121000
Botswana,BWA,1900,165363.7463
Botswana,BWA,2000,1680000
Brazil,BRA,1500,1000000
Brazil,BRA,1600,800000
Brazil,BRA,1700,1250000
Brazil,BRA,1800,2500000
Brazil,BRA,1900,17984000
Brazil,BRA,2000,176320000
Brunei,BRN,2000,325000
Bulgaria,BGR,1500,800000
Bulgaria,BGR,1600,1250000
Bulgaria,BGR,1700,1250000
Bulgaria,BGR,1800,2250000
Bulgaria,BGR,1900,4000000
Bulgaria,BGR,2000,7818495
Burkina Faso,BFA,1800,1665421
Burkina Faso,BFA,1900,2194101.788
Burkina Faso,BFA,2000,11588000
Burundi,BDI,1800,899097
Burundi,BDI,1900,1737802.846
Burundi,BDI,2000,6621126
Cambodia,KHM,1800,2090000
Cambodia,KHM,2000,12396000
Cameroon,CMR,1800,1860054
Cameroon,CMR,1900,3312922.56
Cameroon,CMR,2000,15343000
Canada,CAN,1500,250000
Canada,CAN,1600,250000
Canada,CAN,1700,200000
Canada,CAN,1800,500000
Canada,CAN,1900,5457000
Canada,CAN,2000,31100000
Cape Verde,CPV,1700,20000
Cape Verde,CPV,1800,55716
Cape Verde,CPV,2000,402000
Central African Republic,CAF,1800,479444
Central African Republic,CAF,1900,976535.8291
Central African Republic,CAF,2000,3940000
Chad,TCD,1800,1432000
Chad,TCD,1900,1751475.587
Chad,TCD,2000,7943000
Chile,CHL,1500,600000
Chile,CHL,1600,600000
Chile,CHL,1700,600000
Chile,CHL,1800,771447
Chile,CHL,1900,2958986
Chile,CHL,2000,15156000
China,CHN,1500,103000000
China,CHN,1600,160000000
China,CHN,1700,138000000
China,CHN,1800,330000000
China,CHN,1900,400000000
China,CHN,2000,1262645000
Colombia,COL,1500,1000000
Colombia,COL,1600,800000
Colombia,COL,1700,800000
Colombia,COL,1800,1206000
Colombia,COL,1900,3998000
Colombia,COL,2000,39817000
Comoros,COM,1500,10000
Comoros,COM,1600,20000
Comoros,COM,1700,30000
Comoros,COM,1800,56346
Comoros,COM,1900,80000
Comoros,COM,2000,579000
Congo,COG,1800,314465
Congo,COG,1900,595220.415
Congo,COG,2000,3104000
Costa Rica,CRI,1700,19000
Costa Rica,CRI,1800,53000
Costa Rica,CRI,1900,297000
Costa Rica,CRI,2000,3710558
Cote d'Ivoire,CIV,1800,1088530
Cote d'Ivoire,CIV,1900,1422240.503
Cote d'Ivoire,CIV,2000,16885000
Croatia,HRV,1800,1227886
Croatia,HRV,2000,4410830
Cuba,CUB,1800,272000
Cuba,CUB,1900,1658000
Cuba,CUB,2000,11106000
Cyprus,CYP,1600,180000
Cyprus,CYP,1800,184392
Cyprus,CYP,1900,237000
Cyprus,CYP,2000,758363
Czechia,CZE,1800,5516349
Czechia,CZE,2000,10270128
Democratic Republic of Congo,COD,1800,5163819
Democratic Republic of Congo,COD,1900,9449636.508
Democratic Republic of Congo,COD,2000,51849000
Denmark,DNK,1500,600000
Denmark,DNK,1600,650000
Denmark,DNK,1700,700000
Denmark,DNK,1800,1000000
Denmark,DNK,1900,2561000
Denmark,DNK,2000,5337416
Djibouti,DJI,1800,22848
Djibouti,DJI,1900,42484.02567
Djibouti,DJI,2000,430822
Dominica,DMA,1800,19950
Dominica,DMA,1900,29000
Dominica,DMA,2000,71000
Dominican Republic,DOM,1700,100000
Dominican Republic,DOM,1800,150000
Dominican Republic,DOM,1900,515000
Dominican Republic,DOM,2000,8410000
Ecuador,ECU,1500,600000
Ecuador,ECU,1600,500000
Ecuador,ECU,1700,500000
Ecuador,ECU,1800,500000
Ecuador,ECU,1900,1400000
Ecuador,ECU,2000,12446000
Egypt,EGY,1500,4000000
Egypt,EGY,1600,5000000
Egypt,EGY,1700,4500000
Egypt,EGY,1800,3500000
Egypt,EGY,1900,10176305.71
Egypt,EGY,2000,70512000
El Salvador,SLV,1800,248000
El Salvador,SLV,1900,766000
El Salvador,SLV,2000,6126000
Equatorial Guinea,GNQ,1800,80377
Equatorial Guinea,GNQ,1900,133529.6733
Equatorial Guinea,GNQ,2000,491000
Eritrea,ERI,1800,205010
Eritrea,ERI,1900,721990.7779
Eritrea,ERI,2000,4197000
Estonia,EST,1800,334136
Estonia,EST,2000,1379835
Eswatini,SWZ,1800,86000
Eswatini,SWZ,1900,109354.046
Eswatini,SWZ,2000,1109750
Ethiopia,ETH,1900,18434000
Ethiopia,ETH,2000,64165000
Fiji,FJI,1700,118803
